household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ,soc2,is_student,school_segment,is_worker,is_internal_worker,is_external_worker,home_zone_id,time_factor_work,time_factor_nonwork,naics_code,occupation,work_from_home,is_out_of_home_worker,external_workplace_zone_id,external_workplace_location_logsum,external_workplace_modechoice_logsum,school_zone_id,school_location_logsum,school_modechoice_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_zone_id,workplace_location_logsum,workplace_modechoice_logsum,distance_to_work,work_zone_area_type,auto_time_home_to_work,roundtrip_auto_time_to_work,work_auto_savings,exp_daily_work,non_toll_time_work,toll_time_work,toll_dist_work,toll_cost_work,toll_travel_time_savings_work,transit_pass_subsidy,transit_pass_ownership,free_parking_at_work,telecommute_frequency,cdap_activity,travel_active,mandatory_tour_frequency,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_add_shop_maint_tours,num_add_soc_discr_tours,person_id,miltary,grade,weeks,hours,race,hispanic
8,29.0,2.0,2,2,3,2,13,31.0,False,0,True,True,False,57,0.4122424104698225,1.6232269805887654,62,health,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,15287,10.05954963397219,-1.9206879476396916,13.239702,6.0,30.52413,62.789246,0.0,0.0,30.52413,30.52413,0.0,0.0,0.0,0,0,True,No_Telecommute,M,True,work1,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,6,9,1,2
8,14.0,3.0,1,4,1,7,0,0.0,True,2,False,False,False,57,1.34946478318491,0.5765199586905945,0,null,False,False,-1,-9.0,-9.0,16364,3.9928944699326396,-1.4722590587625446,5.3807793,25.115719,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,1,2
8,9.0,4.0,1,4,1,7,0,0.0,True,2,False,False,False,57,2.189361938248893,0.9171579625250641,0,null,False,False,-1,-9.0,-9.0,4962,7.392697819509256,6.406587714179009,0.27698627,2.0038328,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,1,2
8,7.0,5.0,1,4,1,7,0,0.0,True,2,False,False,False,57,0.820957025970548,0.35642289468126664,0,null,False,False,-1,-9.0,-9.0,16045,4.326732769894906,-0.7974812748424601,4.918701,19.449593,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,1,2
8,6.0,6.0,1,4,1,7,0,0.0,True,2,False,False,False,57,0.43384020647324256,0.8591811793011369,0,null,False,False,-1,-9.0,-9.0,4962,7.966664761680661,6.674109465003398,0.27698627,2.0038328,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,1,2
8,3.0,7.0,2,4,1,8,0,0.0,True,1,False,False,False,57,0.9482202442267378,2.6104006627970913,0,null,False,False,-1,-9.0,-9.0,11584,8.124642674542407,5.3953489389849985,0.6842333,4.884851,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,2
8,60.0,8.0,2,3,3,4,13,27.0,False,0,False,False,False,57,1.0672014661876545,2.3784112104931627,45,mngt_busi_scic_arts,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,6,40,1,2
9,62.0,1.0,1,1,3,1,13,15.0,False,0,True,True,False,57,0.28935034406927607,1.2031882427246374,54,mngt_busi_scic_arts,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,13551,12.613856023230692,-0.5273053429433404,3.288355,6.0,9.3666725,18.924068,0.0,0.0,9.3666725,9.3666725,0.0,0.0,0.0,0,0,True,4_days_week,N,True,null,0,0,0,47,2,0,0,1,1,0,0,1,0,29,0,0,1,45,1,1
9,62.0,2.0,2,3,3,4,13,0.0,False,0,False,False,False,57,0.3771332538342457,0.5863263818933065,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,null,N,True,null,0,0,0,101,2,1,0,0,1,0,0,0,0,30,0,0,0,0,1,1
10,64.0,1.0,1,3,3,4,13,49.0,False,0,False,False,False,57,1.2900855493554386,1.2710550844983377,32,constr_maint,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,1
