MAZ,taz
5930,1293
5940,1620
5962,1076
5965,1334
5975,1361
5979,1461
5986,1208
5992,1010
5993,1398
5995,1766
5999,555
6002,655
6010,1282
6011,1544
6016,1354
6022,789
6042,1252
6047,2069
6060,1439
6066,2178
6067,1475
6072,1584
6077,1119
6078,1287
6085,1296
6090,1354
6098,1266
6101,1448
6105,1398
6129,1823
6135,1131
6138,1423
6154,1190
6155,1344
6163,570
6173,2113
6175,774
6182,1568
6184,1367
6190,1299
6193,1282
6196,1470
6208,1950
6216,2169
6241,561
6254,1700
6264,1257
6267,1602
6277,1293
6279,1420
6283,1654
6284,1311
6299,1125
6300,1342
6309,952
6310,1212
6314,1359
6328,1637
6337,555
6339,1619
6368,1475
6370,1332
6381,1706
6390,1572
6398,1297
6402,551
6419,2114
6421,1328
6427,1912
6428,1228
6434,1878
6442,1032
6445,1514
6450,1359
6451,1257
6452,2005
6456,2169
6466,1637
6473,1594
6476,1397
6480,2142
6482,1431
6516,1619
6543,1451
6545,1320
6546,1448
6561,1374
6563,1888
6565,1411
6571,889
6586,1498
6599,1625
6600,1764
6603,2011
6608,1459
6611,1847
6617,1334
6619,1771
6625,1812
6630,1334
6652,561
6660,1472
6669,1841
6670,1764
6672,916
6674,1354
6676,1328
6681,1366
6689,2049
6698,1554
6703,679
6716,1357
6717,2074
6721,1156
6725,655
6726,2029
6727,679
6733,1166
6740,1277
6741,1320
6749,1109
6758,1228
6760,665
6771,1115
6773,1196
6775,1470
6776,1039
6804,1425
6808,1410
6829,1103
6832,561
6841,1115
6849,1596
6882,1539
6897,1282
6900,1295
6913,1359
6921,2070
6927,699
6928,1229
6937,1374
6958,1336
6959,2000
6960,1115
6984,1076
6985,1492
6986,1626
6994,1344
6997,952
7002,1019
7007,1354
7008,1622
7016,1594
7019,1362
7020,1282
7021,1332
7023,1785
7026,1795
7046,1508
7047,1873
7058,1262
7062,1149
7072,2159
7073,1599
7088,1086
7096,1442
7100,1233
7109,860
7114,1449
7121,1264
7122,2067
7129,1367
7134,1349
7135,1883
7136,1829
7137,1595
7145,1556
7146,1556
7150,1508
7153,1423
7158,561
7174,1562
7181,1206
7184,1383
7203,1492
7205,1208
7212,1716
7221,1180
7239,1745
7240,1689
7252,2113
7257,1655
7266,1549
7267,1120
7268,1103
7287,1207
7300,679
7305,1391
7306,1348
7307,1382
7313,2000
7321,1470
7325,2147
7326,1716
7338,1237
7393,1238
7395,1278
7405,706
7406,794
7437,1524
7440,1288
7443,1086
7445,892
7449,1986
7456,1815
7466,1695
7471,2113
7475,970
7480,2029
7484,1277
7485,1628
7489,954
7501,1950
7504,966
7509,1415
7514,1477
7528,2097
7539,1149
7545,1195
7547,1103
7548,1425
7554,1572
7570,1397
7572,1492
7573,1045
7591,1153
7595,1344
7599,814
7601,2064
7605,1556
7606,1594
7610,1492
7613,2253
7624,1660
7628,1448
7633,1621
7638,1383
7641,1442
7646,860
7648,1047
7649,1665
7665,1257
7669,1764
7681,1016
7683,1556
7689,1361
7702,1804
7703,1068
7716,1693
7733,1295
7735,1114
7743,2113
7754,1032
7760,2142
7764,1561
7769,962
7775,1717
7783,1811
7791,1310
7799,1652
7803,1258
7809,1935
7824,1425
7825,1804
7833,1381
7839,1448
7842,1092
7847,1361
7851,1312
7857,2210
7865,1745
7866,1445
7867,1670
7883,811
7899,1671
7911,1293
7927,1617
7936,1629
7946,1308
7952,1061
7953,1206
7960,1174
7963,789
7967,1425
7996,551
7998,1012
8000,2105
8006,1518
8009,1423
8031,2253
8038,980
8043,1705
8049,2205
8062,1297
8073,930
8075,1846
8088,1826
8091,1195
8110,1084
8112,794
8117,1206
8127,1029
8128,629
8141,1987
8145,1047
8162,2032
8167,1595
8175,1374
8188,1586
8202,1264
8210,1237
8213,1653
8233,1016
8238,1403
8240,1312
8254,2105
8257,889
8264,1637
8265,1199
8267,2095
8275,1202
8276,1248
8277,1136
8280,1032
8294,833
8297,1428
8298,1288
8306,1598
8307,1028
8319,1359
8324,1049
8333,1115
8346,1660
8347,1423
8353,1277
8358,1023
8362,1120
8365,1439
8369,1549
8375,2186
8378,2228
8386,1853
8388,1819
8394,1102
8406,1244
8421,1423
8425,1370
8455,1602
8469,2105
8470,2105
8492,1532
8493,1195
8494,1349
8496,1356
8502,880
8514,1136
8521,1113
8527,1798
8529,1099
8531,1765
8539,1225
8546,1398
8552,1282
8553,1665
8554,1705
8560,1505
8567,833
8573,1108
8578,1766
8580,1196
8582,1818
8594,1092
8595,1016
8604,814
8609,1396
8619,1677
8620,1290
8625,1361
8634,1277
8638,1109
8639,1103
8681,1570
8691,2228
8697,1415
8703,880
8705,915
8720,1086
8731,1428
8742,1619
8745,1457
8749,1631
8753,1080
8769,1806
8771,1771
8772,1465
8779,1556
8786,1257
8791,1704
8794,1502
8799,1039
8807,1470
8811,2145
8813,2095
8827,1153
8838,1809
8852,1202
8853,2113
8860,1465
8861,1601
8872,1447
8875,1129
8876,1163
8877,1562
8881,1574
8886,1149
8909,1594
8915,1628
8928,1539
8930,1642
8941,2026
8942,1362
8954,1202
8956,880
8957,686
8959,1119
8974,596
8976,2068
8977,1049
8985,1439
8988,1198
9005,1282
9009,1844
9014,810
9027,1137
9035,1238
9037,794
9039,1493
9061,2000
9062,1721
9063,1716
9064,1586
9065,1586
9066,1586
9067,1660
9068,2095
9069,2042
9079,2086
9080,1294
9081,1160
9093,1387
9094,1349
9095,1760
9096,1433
9097,1361
9099,702
9100,699
9101,699
9102,789
9103,789
9104,892
9105,849
9106,1012
9108,665
9111,1278
